,car_name,car_prices_in_rupee,kms_driven,fuel_type,transmission,ownership,manufacture,engine,Seats
0,Jeep Compass 2.0 Longitude Option BSIV,10.03,"86,226",Diesel,Manual,1st,2017,1956,5
1,Renault Duster RXZ Turbo CVT,12.83,"13,248",Petrol,Automatic,1st,2021,1330,5
2,Toyota Camry 2.5 G,16.4,"60,343",Petrol,Automatic,1st,2016,2494,5
3,Honda Jazz VX CVT,7.77,"26,696",Petrol,Automatic,1st,2018,1199,5
4,Volkswagen Polo 1.2 MPI Highline,5.15,"69,414",Petrol,Manual,1st,2016,1199,5
5,Volkswagen Vento 1.2 TSI Highline AT,7.66,"49,719",Petrol,Automatic,1st,2017,1197,5
6,Volkswagen Vento 1.2 TSI Highline Plus AT,7.58,"43,688",Petrol,Automatic,1st,2017,1197,5
7,Honda WR-V VX Diesel,11.6,"14,470",Diesel,Manual,1st,2021,1498,5
8,Honda City i VTEC CVT SV,6.99,"21,429",Petrol,Automatic,1st,2015,1497,5
9,Renault Duster Petrol RXS CVT,7.53,"31,750",Petrol,Automatic,1st,2017,1498,5
10,Honda City i VTEC CVT SV,6.99,"21,429",,Automatic,1st,,1497,5
11,Maruti Baleno 1.2 Alpha,6.43,"38,203",Petrol,Manual,1st,2017,1197,5
12,Honda City i VTEC CVT SV,5.43,110284,Petrol,Automatic,1st,2014,1497,5
13,Mahindra XUV300 W6,8.62,"10,381",Petrol,Manual,1st,2020,1197,5
14,Jeep Compass 1.4 Limited Plus BSIV,16.78,"32,378",Petrol,Automatic,1st,2019,1368,5
15,Honda City V MT,10.03,"38,906",Petrol,Manual,1st,2020,1498,5
16,Hyundai Grand i10 AT Asta,5.63,"59,313",Petrol,Automatic,2nd,2016,1197,5
17,Hyundai i20 1.4 Asta,6.67,"85,672",Diesel,Manual,1st,2017,1396,5
18,Maruti Ciaz 1.4 Delta,6.73,"34,971",Petrol,Manual,2nd,2017,1373,5
19,Nissan Micra XL Optional,3.21,"35,894",Petrol,Manual,2nd,2015,1198,5
20,Maruti Ciaz Alpha Automatic BSIV,8.5,"56,000",Petrol,Automatic,1st,2019,1462,5
21,Maruti Swift Dzire VXI,4.34,"56,568",Petrol,Manual,1st,2014,1197,5
22,Renault KWID RXT,3.11,"48,872",Petrol,Manual,1st,2017,799,5
23,Renault KWID RXL BSIV,3.7,"17,346",Petrol,Manual,1st,2019,799,5
24,Jeep Compass 2.0 Limited Plus BSIV,15.88,"15,414",Diesel,Manual,1st,2019,1956,5
25,Hyundai Grand i10 1.2 Kappa Magna BSIV,5.41,"21,239",Petrol,Manual,1st,2018,1197,5
26,Maruti Alto K10 LXI,2.23,"62,361",Petrol,Manual,1st,2014,998,5
27,Hyundai Verna 1.6 VTVT S Option,5.88,"79,329",Petrol,Manual,2nd,2015,1591,5
28,Honda City i VTEC CVT SV,6.99,"21,429",,Automatic,1st,,1497,5
29,Hyundai Tucson GLS AT,22.78,"11,945",Petrol,Automatic,1st,2021,1999,5
30,Maruti Swift Dzire VXI 1.2,6.12,"51,324",Petrol,Manual,1st,2018,1197,5
31,Nissan Magnite XV Premium,7.44,"5,717",Petrol,Manual,1st,2021,999,5
32,Honda City i VTEC CVT VX,8.39,"46,417",Petrol,Automatic,1st,2016,1497,5
33,Honda Amaze S i-Vtech,4.2,100161,Petrol,Manual,1st,2015,1198,5
34,Hyundai Grand i10 Sportz,4.91,"35,424",Petrol,Manual,1st,2016,1197,5
35,Hyundai EON Era Plus,2.93,"51,085",Petrol,Manual,1st,2017,814,5
36,Maruti Alto 800 LXI,2.98,"30,983",Petrol,Manual,1st,2016,796,5
37,Renault KWID RXL,2.6,"32,681",Petrol,Manual,1st,2016,799,5
38,Hyundai EON Magna Plus,2.38,"57,581",Petrol,Manual,2nd,2014,814,5
39,Honda Jazz 1.2 V AT i VTEC,6.05,"39,821",Petrol,Automatic,1st,2016,1199,5
40,Maruti Alto 800 LXI,3.23,"21,186",Petrol,Manual,1st,2018,796,5
41,Renault KWID RXL,3.26,"34,972",Petrol,Manual,1st,2018,799,5
42,Honda Amaze S i-Vtech,4.21,"46,623",Petrol,Manual,2nd,2015,1198,5
43,Kia Seltos GTX Plus,15.53,"18,557",Petrol,Manual,1st,2019,1353,5
44,Jeep Compass 2.0 Limited,12.43,"58,463",Diesel,Manual,1st,2017,1956,5
45,MG Hector Plus Sharp DCT,18.5,"5,000",Petrol,Automatic,1st,2020,1451,6
46,Tata Harrier XZ BSIV,15.9,"66,000",Diesel,Manual,1st,2019,1956,5
47,Renault Duster Petrol RXS CVT,8.9,"14,000",Petrol,Automatic,1st,2019,1498,5
